"MY MOM JUST ASKED WHERE TO GO TO GET A ONE DIRECTION SCHOOL BAG BC I WAS BITCHING ABOUT THE SUPPLIES AT OD","1"
"RT @_christuh: There's always the bitches from IG... But I want bitches in school ","2"
"RT @BB_Updates: Amanda- I'm pissed off that I look like the bully when this bitch ass, Joker faced, motherfucker walks around like she's Qu","3"
"I'm old school &amp; ill smack a bitch","2"
"Walk in the school for the first day """"Where my niggas at ? we in this bitch .","3"
"RT @RaynaxBaby: The heat in school today made me so bitchy lol","2"
"RT @ashlynziebol: I better hangout with @_Whitney_Bitch before school starts because I miss her more then anything #sister#bestfriend#ilove","1"
"RT @Ralphh_Delageto: the chances of running into @SkateRockLyfe at school. and he dont even go to this bitch. lol","1"
"Home from school! Its good so far but parking this morning was a bitch! &gt;_&lt; tomorrow class starts at 9 http://t.co/4MsCXk5MeC","1"
"RT @iAmDani0626: S/O to the bitches who took my advice and enrolled in school finally!","1"
"And this is why I don't hang around with my school friends there all turn each other in to bitches ","2"
"dont want to go back to school on thursday, mainly because my bitch @Beth_Connolly_x wont be there to bully me.","2"
"RT @igetlaughss: All these hoes are worried about having a nigga, falling in love and shit ... BITCH, graduate high school first.","2"
"@its_muppybitch ","1"
"@JGotDem_Racks in my skin bitch u should be in school learning","2"
"""""@MY_HollywoodAss: I hate follow the leader ass hoes, bitch you mad cus yo friend mad"""" this &gt;&gt;&gt;&gt;&gt;","2"
"@TheFunnySayings: Back in elementary school, if you were line leader, everyone else was your bitch.","2"
"If I could go back to high school I would. SIIIIIKKKKKKEEEEEE bitch the fuck I look like going back I might not graduate the second time","2"
"RT @Blackk_chinaa:  """"@_LoveMeBetter_: How its the 2 week of school and bitches hair fucked up.""""","1"
"Pretty sure I come off as a bitch to everyone. It's nothing personal I just naturally hate everyone at first. #proveyourselfworthy","1"
"""""@ryannn_nicoleee: Woke up to 7 snapchats of @danadoesitbettr bitching about school"""" GUILTY. bitch fest 2k13.","2"
"I hate that bitch Kalika! Arghhhh! #Saraswathichandra","2"
"RT @danni_watson: Tempted to go back to school but then again it's so bitchy and I cannot be bothered with all that.","1"
"RT @Caramel_Crysi: @its_muppybitch ","1"
"I hate a bitch with a bad weave ","2"
"RT @FunnyOrTruth: I hate when a slim bitch say she's fat.","2"
"RT @EvanTheEddy: I hate how every shitty teacher leaves/quits/gets fired right after I'm done with their class. Bitch leave before I get yo","2"
"I hate clingy bitches","2"
"These bitches are sharpppppp for the first week of school","2"
"I hate when I see bitches still putting glitter effects, quotes and stickers on there pics! This is not MySpace and we are not 13 ","2"
"I hate when girls try to talk dirty to me like bitch we all know you ain't really bout that life","2"
"HONESTLY GIRL FROM MY AREA SHUT THE FUCK UP YOUR NOT EVEN A STAN GO FUCKING DIE I HATE YOU UGLY BITCH","3"
"Y'all Bitches can't cook or clean don't go to school or work all ya'll know is Instagram twitter and vine ","2"
"I hate this bitch idk why i follow her lmfaoo","2"
"RT @makeamoviehoe_: niccas that hate shower sex fuckn bitches that wont let them get they hair wet .","3"
"2 week of school &amp; bitches fighting.","2"
"""""@__shaiiiiiBITCH: im sooooo over school!!!""""","1"
"I Hate Bitches That Walk Stank..","2"
"now hes bitching to my mum about me ugh i hate him","2"
"Bitch you going be in desk next Tuesday @GXLDEN_LXRD: Ima be trapping next Tuesday fuck school","2"
"RT @IANSINKINS: I can't wait to get back to school, mainly so me and Lauren can just bitch about everyone again","2"
"Ewe i gotta go to school in 10 minutes and see bitches everywhere. Im dreading everyday of this week. Bye...","1"
"""""@highmarci: bitches be going to school looking like they going to the club after.... CHIIIIIIILLL""""","2"
"@gotohellbfs Good thing you're no longer one of us. We hate bitches.","2"
"Are you excited for school?  Kinda!1!1 I miss bitches but I don't want work http://t.co/UXFHW061Ik","1"
"RT @FunnyOrTruth: I hate when a slim bitch say she's fat.","2"
"All Jill and I talk about is work, school, the same 3 bitches we hate, work, sex and work","2"
"RT @bowsthirlwall: STORY OF ZERRIE HATERS""""zayn's off""""'I HATE perrie edwards, she's a bitch'""""zayn comes on""""'I LOVE ZERRIE FOLLOW ME' htt","2"
"RT @TheCrippledDude: Oh crap once school starts, there's homecoming where bitches get ratchet and try to find a man to grind on.","2"
"bitches be tweeting bout shit they hate bout other bitches nd still do the same shit","2"
"To you high school people who want to """"go away"""" for college ..........Don't ... You'll be like me acting like an emotional bitch on Twitter","1"
"@SayHeyAce I just hate that Sexist Bitch! He gave me a fvckin 85 at my fvckin awesome drawing while he gave a 92 at a crappy one (guy owns)","3"
"RT @LOHANTHONY: going to try to not stab a bitch on my first day of school today let's see how this goes","2"
"@BITCHImTheTOPIC tell dat biotch ima see ha big ass after school","3"
"I hate reading people's tweets &amp; automatically thinking that it's about me.. I'm actually such a selfish bitch sometimes haha","2"
"My school is full of sly, fake, clever bitches and once you're in their grasp, they never let you go #innocent #BoardingSchool #scared","2"
"&amp; free b4 11 RT @Cubianaa: Y'all Bitches can't cook or clean don't go to school or work all ya'll know is Instagram twitter and vine ","2"
"spider: *walks in through my front door*me: *runs to stairs* BITCh who invited yo ass!  i hate these goon ass spiders","3"
"When you hate one bitch, another bitch hates you for hating that bitch. It's just a triangle of hating bitches.","2"
"This Bitch Keirra Always Wanna Know What Going On ,Hate Her Noisy Ass","3"
"I hate when a topic DIES out then somebody totally irrelevant to the twitter community comes out the cut like . SWERVE BITCH ","2"
"RT @FunnyOrTruth: I hate when a slim bitch say she's fat.","2"
"bitches who wear heels to school&lt;&lt;","2"
"Bitches just be staring me down ","2"
"I AM PROUD TO SAY FUCK YOU TAYWHORE SWIFT! I HAVE A LOT OF REASONS TO HATE ON YOU! BITCH! AND GET THE FUCK OVER HARRY ITS BEEN 7 MONTHS :)","3"
"sometimes, i really hate that bitch! ughhh #feelingannoyed","3"
"Hate it when im nice. And people just climb over my head. Bitch do i look likea playground to you ?","2"
"I'd go back to regular school but you bitches annoy me","2"
"I hate the term bitch... so if u hear me call u bitch it simple means i hate u bitch full stop","3"
"To the bitch who keyed my car, I hate you.","2"
"I fucking hate when people don't cover their mouth when they sneeze. like bitch we don't want yo nasty ass germs lingering in the air.","2"
"RETWEET if you hate a bitch with stank breath.","2"
"I hate when people say if you dress cute for school you're trying to impress someone. Like no bitch, maybe I just like to look cute.","2"
"RT @bitchprobIem: i dont remember ever agreeing to this school thing","1"
"RT @nikia_monique: Nosey bitchies I hate em ","2"
"I hate that RT @Supra_coo: How do these skinny bitches be makin they self look #thick on insta ","2"
"RT @alexinacup: Don't be that guy that steals seats on the 2nd day of school. Bitch I picked there the first day.","2"
"I hate when people want to come to MY house and try to rush ME like bitch you better be glad I'm even allowing you in my presence","2"
"*when I'm at school*bitch here hoe there ass holes over there cunts everywhere http://t.co/yW2ZjD850Z","3"
"RT @TopN0tch_Bitch: I hate feeling like i don't have enough money for stuff","1"
"I hate when girls get beat up by their boyfriend's and they say """"No it was my fault"""" Bitch ","2"
"You're 16.  And going out with a 22 yr old no life? ! Bitch go to school!","2"
"I cant wait for everyone to hate the girl I hate she walks around like she owns the place and is a bitch this aint middle school no more","2"
"I hate when people think they are hot shit for answering a question. Bitch you read that straight from the book #","2"
"RT @Bitch_ItsMAIYA: @kwondgnf_ lasning alternative school ,,, butt i need too talk to youu","1"
"RT @_brooklyn13: I wonder how many bitches still don't have their kids ready for school but got that outfit ready for Friday ","2"
"and then here come's onew with his bitchy smile i hate that bitch","3"
"@MeezyThePoetist: Bitches love to hate on the next bitch lol ","2"
"RT @HellRaisingBtch: I hate SNOBBY bitches. normal bitches are fine.","2"
"I hate hate hate when someone who DREAMS about having tattoos says they are team tatted! Like no bitch","2"
"waking up for school is gonna be a bitch #tooearly","1"
"RT @Cubianaa: Y'all Bitches can't cook or clean don't go to school or work all ya'll know is Instagram twitter and vine ","2"
"Will it kill me to be less bitchy wtf but no I hate you You're a stupid asshole and I hate you please go rot in a hole and stay there","3"
"RT @_PUSSYWhisperer: I Hate A Stuck Up Bitch ..Like Go Die","3"
"I hate when people tell me how to dress ,bitch you better be lucky a nigga got clothes on","3"
"Some niggaz who I went to elementary School with grew up to be some cold BITCHEZ smh","3"
"RT @FreshPrinceofSB: I hate that RT @Supra_coo: How do these skinny bitches be makin they self look #thick on insta ","2"
"Even my baby mother got more sense than this dumb bitch. Chick ready go to grad school n she ain't learning shit from wat tryna tell her","3"
"Bitch never gets tired of baking cookies for all these niggas at school -__-","3"
"RT @CODEREDDD: I hate when niggas run they mouth to females like a bitch","3"
"Pissed the fuck off ! I hate that stupid bitch ! Y you so in love with me !!!","3"
"RT @LetsQuoteComedy: I hate when people text me hours later, trying to continue the conversation. Bitch, the feeling is gone","2"
"I hate calling woman bitches but the bitches love it ","2"
"RT @LOHANTHONY: going to try to not stab a bitch on my first day of school today let's see how this goes","2"
"RT @LOHANTHONY: going to try to not stab a bitch on my first day of school today let's see how this goes","2"
"RT @Bitch_Imlucylu: @MercyLago_: School Flow.","1"
"Ppl Bitch Bout Tha School being Cold.... Then When It's Hot They Bitch Bout it Being hot....","2"
"@LOHANTHONY: going to try to not stab a bitch on my first day of school today let's see how this goes","2"
"RT @BitchhImBellaaa: So happy I graduated high school ","1"
"starting a new game called how many high school classmates can I delete from facebook without seeming bitchy","1"
"Glad I don't have to get up and get ready for school. #Sucks #for #you #bitches #ispforme","1"
"@YoBitchCrib_ @Rickey_RiteDere I don't go to school I just work right now ima go to a school here next semester tho","1"
"RT @AnjekBengMatrep: When girls meet-""""OMG babe, I miss u so much. We should meet up soon """"But in reality-""""urgh, I hate that bitch!"""" ","2"
"I hate when people get on the elevator from the 3rd floor! Bitch you couldve walked down some stairs.","1"
"@CrasHDuMMiez: Bitches crying that they kids goin to school when in reality they drop they kids off everynight","2"
"I hate bitches that blow squares dawg i swear","2"
"Damn yo I hate when a nigga talks all he's shit lol like brah you ain't got money nor bitches? Now that's a problem .","3"
"I hate being with a hoe , &amp;&amp; the bitch think you finna kiss her","2"
"RT @StonerSupreme: Bitch you going be in desk next Tuesday @GXLDEN_LXRD: Ima be trapping next Tuesday fuck school","2"
"RT @ExquisiteBri: I hate when people say if you dress cute for school you're trying to impress someone. Like no bitch, maybe I just like to","2"
"A bitch a hate me and retweet my lyrics and not even know they mine ","2"
"RT @X_Ratedxx: I hate being with a hoe , &amp;&amp; the bitch think you finna kiss her","2"
"@LOHANTHONY: going to try to not stab a bitch on my first day of school today let's see how this goes good luck","1"
"Bitches think that shit cute not going to school dumb bitch get up off your ass And go learn some leave that dumb shit up to these niggas","3"
"RT @__RyanCooper__: everyones bitching about going back to school, while i sit an get excited to work 45 hours a week an make something of ","1"
"Hook a bitch up with some back to school clothes. ","2"
"If This Bitch Made 25k A Day She A Be Richer Than Oprah. I Hate When Hoes Lie For No Reason","2"
"LET THE ; haters hate , fakers fake , bitches bitch and you be you","1"
"I hate when the idiot guy acted like a little pussy. You know what? he even look like a fucking idiot bitch by that time. gross","2"
"I hate this magnet mouthed bitch teacher","3"
"Hate that bitch him &amp; dock","2"
"These white bitches at this school is so fucking denial , delusional and stupid .","3"
"RT @rello2324: A bitch a hate me and retweet my lyrics and not even know they mine ","2"
"RT @__birthdaybitch: No school suppliessssssssss","1"
"RT @Cubianaa: Y'all Bitches can't cook or clean don't go to school or work all ya'll know is Instagram twitter and vine ","2"
"RT @MrOkHello: I Hate When Niggas Complain To A Bitch About How She Dont Fuck Wit Him No More I Be Like Yo Chill Its Prolly A Reason Lil Cr","3"
"I hate it when people refer to the music I listen to as my """"metal phase""""Bitch this is not a fucking phase http://t.co/iLpwFQCXe4","2"
"i hate a liara cheater and a sneaky ass bitch ","3"
"Went to school just for the bitches!","2"
"""""@DETROITHEEM: If This Bitch Made 25k A Day She A Be Richer Than Oprah. I Hate When Hoes Lie For No Reason""""","2"
"@cheyennesantoro: All Jill and I talk about is work, school, the same 3 bitches we hate, work, sex and work Did we mention work","1"
"RT @HeBeLike_PAIGE: I hate to tell people how I feel , because I don't wanna make it seem like I'm bitching or complaining . but it gotta c","1"
"""""@IThinkImTspoon: i hate a liara cheater and a sneaky ass bitch """"","2"
"RT @FunnyOrTruth: I hate when a slim bitch say she's fat.","2"
"RT @My_Bird_Tweets: @aleenalynn_: Bitches just be staring me down ","2"
"School is all over with. Now time for work and to make today my BITCH.","2"
"I hate an ol jealous bitch !","2"
"Companheiras de """"estudo"""". ;) #me #friends #mygirls #bitches #school #loveit http://t.co/e3wnexbz8u","1"
"And i hate the girls that talk all day like bitch shutup and chill ... And its 10 x worse when there voice is annoying","2"
"RT @Cubianaa: Y'all Bitches can't cook or clean don't go to school or work all ya'll know is Instagram twitter and vine ","2"
"RT @_thugliiife: i hate when bitches hug me after every block. like bitch moooove ","2"
"RT @AnjekBengMatrep: When girls meet-""""OMG babe, I miss u so much. We should meet up soon """"But in reality-""""urgh, I hate that bitch!"""" ","2"
"@wayz114 smh!! Bitches gonna hate regardless! Who cares???? Lolol","2"
"RT @killjoy_problem: I hate it when people refer to the music I listen to as my """"metal phase""""Bitch this is not a fucking phase http://t.co","2"
"RT @BitchhImBellaaa: So happy I graduated high school ","1"
"I'm going to make school my bitch","2"
